"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,OEM_1024_768_MachineState.grpCommands.btntxtCommands,Arial,12,1,Commands,命令,,
Caption,OEM_1024_768_MachineState.grpStates.grpResetting.txtlblResetting,Arial,12,1,Resetting,重置中,,
Caption,OEM_1024_768_MachineState.grpStates.grpResetting.CounterResetting,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpClearing.txtlblClearing,Arial,12,1,Clearing,清除中,,
Caption,OEM_1024_768_MachineState.grpStates.grpClearing.CounterClearing,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpStopped.txtlblStopped,Arial,12,1,Stopped,已停止,,
Caption,OEM_1024_768_MachineState.grpStates.grpStopped.CounterStopped,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpStopping.txtlblStopping,Arial,12,1,Stopping,停止中,,
Caption,OEM_1024_768_MachineState.grpStates.grpStopping.CounterStopping,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpAborted.txtlblAborted,Arial,12,1,Aborted,已终止,,
Caption,OEM_1024_768_MachineState.grpStates.grpAborted.CounterAborted,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpAborting.txtlblAborting,Arial,12,1,Aborting,终止中,,
Caption,OEM_1024_768_MachineState.grpStates.grpAborting.CounterAborting,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpSuspending.CounterSuspending,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpSuspending.txtlblSuspending,Arial,12,1,Suspending,暂停中,,
Caption,OEM_1024_768_MachineState.grpStates.grpSuspended.CounterSuspended,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpSuspended.txtlblSuspended,Arial,12,1,Suspended,已暂停,,
Caption,OEM_1024_768_MachineState.grpStates.grpUnSuspending.CounterUnSuspending,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpUnSuspending.txtlblUnSuspending,Arial,12,1,Unsuspending,取消暂停中,,
Caption,OEM_1024_768_MachineState.grpStates.grpComplete.CounterComplete,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpComplete.txtlblComplete,Arial,12,1,Complete,完成,,
Caption,OEM_1024_768_MachineState.grpStates.grpCompleting.CounterCompleting,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpCompleting.txtlblCompleting,Arial,12,1,Completing,完成中,,
Caption,OEM_1024_768_MachineState.grpStates.grpExecute.CounterExecute,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpExecute.txtlblExecute,Arial,12,1,Execute,执行,,
Caption,OEM_1024_768_MachineState.grpStates.grpStarting.CounterStarting,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpStarting.txtlblStarting,Arial,12,1,Starting,启动中,,
Caption,OEM_1024_768_MachineState.grpStates.grpIdle.CounterIdle,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpIdle.txtlblIdle,Arial,12,1,Idle,闲置,,
Caption,OEM_1024_768_MachineState.grpStates.grpHolding.CounterHolding,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpHolding.txtlblHolding,Arial,12,1,Holding,保持中,,
Caption,OEM_1024_768_MachineState.grpStates.grpHeld.CounterHeld,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpHeld.txtlblHeld,Arial,12,1,Held,已保持,,
Caption,OEM_1024_768_MachineState.grpStates.grpUnHolding.CounterUnHolding,Arial,12,0,0,0,,
Caption,OEM_1024_768_MachineState.grpStates.grpUnHolding.txtlblUnHolding,Arial,12,1,Unholding,取消保持中,,
Caption,OEM_1024_768_MachineState.grpHeaderBar.grpTitle.txtShadingTitle,Arial,28,1,Machine State,机器状态,,
Caption,OEM_1024_768_MachineState.grpHeaderBar.grpTitle.txtFrontTitle,Arial,28,1,Machine State,机器状态,,
Description,OEM_1024_768_MachineState.grpHeaderBar.PanelBtnHome,,,,Home,主页,,
Description,OEM_1024_768_MachineState.grpHeaderBar.PanelBtnMachineSetup,,,,Machine Setup,机器设置,,
Description,OEM_1024_768_MachineState.grpHeaderBar.PanelBtnProductSetup,,,,Product Setup,产品设置,,
Description,OEM_1024_768_MachineState.grpHeaderBar.PanelBtnFault,,,,Fault Status,故障状态,,
Description,OEM_1024_768_MachineState.grpHeaderBar.PanelBtnProductionStatus,,,,Production Status,生产状态,,
Caption,OEM_1024_768_MachineState.grpTableCounters.TextLabelTarget,Arial,10,0,Target,目标,,
Caption,OEM_1024_768_MachineState.grpTableCounters.TextLabelCurrent,Arial,10,0,Current,当前,,
Caption,OEM_1024_768_MachineState.grpTableCounters.TextLabelProduction,Arial,10,0,Production,产量,,
Caption,OEM_1024_768_MachineState.grpTableCounters.TextLabelDefects,Arial,10,0,Defects,次品,,
Caption,OEM_1024_768_MachineState.grpTableCounters.CounterTarget,Arial,10,0,0,0,,
Caption,OEM_1024_768_MachineState.grpTableCounters.CounterCurrent,Arial,10,0,0,0,,
Caption,OEM_1024_768_MachineState.grpTableCounters.CounterProduction,Arial,10,0,0,0,,
Caption,OEM_1024_768_MachineState.grpTableCounters.CounterDefects,Arial,10,0,0,0,,
